Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,Events
141,26:01.5,28.5924,22.3597,24.0122,26.7813,9.9739,14.3285,15.5753,17.1406,
142,26:02.5,28.631,22.3976,24.0426,26.7905,9.9729,14.2308,15.5753,17.0839,
143,26:03.5,28.6669,22.4624,24.0814,26.8641,9.9906,14.3415,15.527,17.0291,
144,26:04.5,28.6714,22.4291,24.0814,26.8871,10.0121,14.2429,15.4805,17.0106,
145,26:05.5,28.677,22.527,24.0915,26.8954,10.013,14.1192,15.4657,16.9883,
146,26:06.5,28.7091,22.5963,24.1211,26.9497,9.9832,14.135,15.4452,16.953,
147,26:07.5,28.7477,22.5353,24.1451,26.9562,9.9617,14.1462,15.3987,16.901,
148,26:08.5,28.7643,22.6019,24.1654,27.004,9.9487,14.0643,15.3634,16.8787,
149,26:09.5,28.7633,22.6249,24.2004,27.0334,9.9347,14.2011,15.3114,16.8416,
150,26:10.5,28.7872,22.5852,24.1875,27.0601,9.9468,14.2708,15.2807,16.8045,
151,26:11.5,28.8065,22.6139,24.2179,27.0629,9.9459,14.0252,15.2547,16.7571,
152,26:12.5,28.8212,22.6683,24.2373,27.0978,9.9823,13.9731,15.2035,16.7079,
153,26:13.5,28.8432,22.6342,24.2502,27.1402,9.9468,13.9657,15.1013,16.6689,
154,26:14.5,28.8597,22.6905,24.2538,27.1668,9.9571,14.0345,15.0222,16.6354,
155,26:15.5,28.8827,22.7173,24.2852,27.1935,9.9571,14.1062,15.0222,16.6029,
156,26:16.5,28.913,22.7487,24.3129,27.2091,9.972,13.9582,14.9376,16.537,
157,26:17.5,28.9396,22.6803,24.3184,27.2404,9.9963,14.1118,14.8819,16.5203,
158,26:18.5,28.9773,22.7358,24.3406,27.2736,10.0038,13.8764,14.8196,16.5027,
159,26:19.5,29.0049,22.8272,24.3627,27.3371,9.9973,13.9807,14.7945,16.4591,
160,26:20.5,29.0278,22.8226,24.3849,27.3582,9.9674,13.976,14.7238,16.4089,
161,26:21.5,29.0481,22.8115,24.4125,27.3619,9.9478,14.0272,14.6885,16.3736,
162,26:22.5,29.06,22.83,24.431,27.3959,9.9655,13.9518,14.6177,16.3299,
163,26:23.5,29.0986,22.8864,24.443,27.4373,9.9216,13.8587,14.547,16.2825,
164,26:24.5,29.1271,22.8559,24.4698,27.4631,9.9048,13.9108,14.52,16.2184,
165,26:25.5,29.1509,22.8919,24.4845,27.4843,9.904,13.8457,14.4671,16.1831,
166,26:26.5,29.1647,22.9649,24.5057,27.5045,9.9226,13.8457,14.4206,16.1831,
